URL,claim,claim_type,current_source,primary_source,vigencia,jurisdiccion,metodo_de_calculo,status,action,verified_date
/authors/javi-perez/,"""researching U.S. legal costs since 2022""",biografico,ninguna,ninguna,-,-,-,UNVERIFIED_REMOVE,Eliminado. GSC registra la primera impresion del dominio el 2026-04-21.,2026-08-12
"/authors/javi-perez/, /about, /how-we-research, /editorial-policy, /","cadencia de revision ""quarterly"" (10 menciones)",proceso editorial,ninguna,ninguna,-,-,-,UNVERIFIED_REMOVE,Eliminado. Sitio de ~4 meses; no existe registro de un ciclo trimestral.,2026-08-12
"/pages/personal-injury-lawyer-cost, /pages/mesothelioma-lawyer-cost, /",rango de cuota litis 33%-40% atribuido a la ABA Model Rule 1.5,norma,ABA Model Rule 1.5,ABA Model Rule 1.5,vigente,EE.UU.,ninguno,CONTEXT_MISMATCH,Corregido. La Regla exige honorarios razonables y pacto escrito; no publica porcentajes. El rango se presenta como practica de mercado sin fuente oficial unica.,2026-08-12
/states/alabama-lawyer-costs,Tasas judiciales y limites de small claims del estado,tasa oficial,fuente .gov citada en la pagina,"June 2026 · Filing fees verified against the Code of Alabama (§12-19-71, §12-12-31) and the Alabama Unified Judicial System",2026,alabama,transcripcion directa de la fuente,VERIFIED,"Sin cambios. Cada cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/alabama-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,alabama,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
/states/alaska-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,alaska,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
/states/arizona-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,arizona,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
/states/arkansas-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,arkansas,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
/states/california-lawyer-costs,Tasas judiciales y limites de small claims del estado,tasa oficial,fuente .gov citada en la pagina,"June 2026 · Figures verified against California Courts (courts.ca.gov), the State Bar of California (calbar.ca.gov), and the Calif",2026,california,transcripcion directa de la fuente,VERIFIED,"Sin cambios. Cada cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/california-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,california,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
/states/colorado-lawyer-costs,Tasas judiciales y limites de small claims del estado,tasa oficial,fuente .gov citada en la pagina,"June 2026 · Figures verified against the Colorado Judicial Branch (coloradojudicial.gov), the Colorado Bar Association, and the Co",2026,colorado,transcripcion directa de la fuente,VERIFIED,"Sin cambios. Cada cifra cita tribunal, codigo o judicatura del estado.",2026-06
/states/colorado-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,colorado,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
/states/connecticut-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,connecticut,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
/states/delaware-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,delaware,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
/states/florida-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,florida,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
/states/georgia-lawyer-costs,Bandas de tarifa por hora por metro y benchmark estatal medio,estimacion derivada,Clio Lawyer Rates by State and Practice Area,no existe fuente primaria publica de tarifas facturadas,2026,georgia,benchmark estatal de Clio ajustado por nivel de mercado local; BLS OES solo como contraste laboral,DERIVED_AND_DISCLOSED,"Reetiquetado ""Typical rate band"" -> ""Planning estimate (derived)"". Retirado de title y meta description. Nota de metodologia visible junto a la tabla.",2026-08-12
