period,query,page_path,clicks,impressions,ctr,position
3m_2026-05-12_2026-08-11,consultation fee,/pages/lawyer-consultation-fee,0,516,0,57.7
3m_2026-05-12_2026-08-11,legal fees,/states/louisiana-lawyer-costs,0,289,0,45.7
3m_2026-05-12_2026-08-11,business attorney fees,/pages/business-lawyer-cost,0,267,0,68.8
3m_2026-05-12_2026-08-11,attorney pricing,/states/louisiana-lawyer-costs,0,254,0,31.7
3m_2026-05-12_2026-08-11,small business lawyer cost,/pages/business-lawyer-cost,0,242,0,62.1
3m_2026-05-12_2026-08-11,business lawyer cost,/pages/business-lawyer-cost,0,237,0,62.3
3m_2026-05-12_2026-08-11,how much does a criminal lawyer cost,/pages/criminal-defense-lawyer-cost,0,231,0,72.8
3m_2026-05-12_2026-08-11,lawyer pricing,/states/louisiana-lawyer-costs,0,208,0,31.9
3m_2026-05-12_2026-08-11,how much does a lawyer cost,/states/louisiana-lawyer-costs,0,189,0,47.4
3m_2026-05-12_2026-08-11,flat fee lawyer,/states/louisiana-lawyer-costs,0,177,0,49.5
3m_2026-05-12_2026-08-11,business lawyer cost,/states/louisiana-lawyer-costs,0,173,0,59.7
3m_2026-05-12_2026-08-11,legal fees,/states/mississippi-lawyer-costs,0,161,0,69.0
3m_2026-05-12_2026-08-11,how much is a consultation with a lawyer,/pages/lawyer-consultation-fee,0,157,0,58.3
3m_2026-05-12_2026-08-11,how much does a business lawyer cost,/pages/business-lawyer-cost,0,142,0,65.1
3m_2026-05-12_2026-08-11,how much does a good lawyer cost,/pages/how-much-does-a-lawyer-cost,0,132,0,60.2
3m_2026-05-12_2026-08-11,how much does a lawyer cost,/pages/how-much-does-a-lawyer-cost,0,124,0,67.2
3m_2026-05-12_2026-08-11,legal fees,/pages/legal-fee-calculator,0,109,0,80.8
3m_2026-05-12_2026-08-11,mesothelioma compensation calculator,/pages/mesothelioma-settlement-calculator,0,100,0,63.0
3m_2026-05-12_2026-08-11,attorney fees colorado,/states/colorado-lawyer-costs,0,93,0,27.2
3m_2026-05-12_2026-08-11,how much is a consultation with a lawyer,/states/south-carolina-lawyer-costs,0,92,0,70.0
3m_2026-05-12_2026-08-11,how much does a criminal defense attorney cost,/pages/criminal-defense-lawyer-cost,0,91,0,65.0
3m_2026-05-12_2026-08-11,how much does an employment lawyer cost,/pages/employment-lawyer-cost,0,90,0,55.6
3m_2026-05-12_2026-08-11,small business attorney fees,/pages/business-lawyer-cost,0,90,0,63.9
3m_2026-05-12_2026-08-11,small business lawyer cost,/states/louisiana-lawyer-costs,0,90,0,46.9
3m_2026-05-12_2026-08-11,wrongful termination lawyer cost,/pages/employment-lawyer-cost,0,90,0,65.6
3m_2026-05-12_2026-08-11,lawyer fees criminal defense,/states/utah-lawyer-costs,0,84,0,53.9
3m_2026-05-12_2026-08-11,legal fees,/states/oregon-lawyer-costs,0,81,0,36.6
3m_2026-05-12_2026-08-11,how much does a divorce lawyer cost in virginia,/states/virginia-lawyer-costs,0,79,0,80.2
3m_2026-05-12_2026-08-11,legal consulting fees,/pages/lawyer-consultation-fee,0,79,0,58.4
3m_2026-05-12_2026-08-11,employment lawyer fees,/pages/employment-lawyer-cost,0,77,0,67.8
3m_2026-05-12_2026-08-11,attorney pricing,/states/south-carolina-lawyer-costs,0,76,0,91.2
3m_2026-05-12_2026-08-11,criminal defense attorney fees,/states/utah-lawyer-costs,0,76,0,53.8
3m_2026-05-12_2026-08-11,how much does a prenup cost in maryland,/states/maryland-lawyer-costs,0,75,0,73.6
3m_2026-05-12_2026-08-11,virginia traffic lawyer cost,/states/virginia-lawyer-costs,0,73,0,63.5
3m_2026-05-12_2026-08-11,how much does a traffic lawyer cost in virginia,/states/virginia-lawyer-costs,0,71,0,67.2
