url,schema_type,types_before_a3a8187,types_after,verdict,note
/about,AboutPage,"Article,BreadcrumbList,FAQPage","AboutPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/about,BreadcrumbList,"Article,BreadcrumbList,FAQPage","AboutPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
/authors/javi-perez/,@graph,"@graph,BreadcrumbList","@graph,BreadcrumbList",OK,ProfilePage + Person del autor real
/authors/javi-perez/,BreadcrumbList,"@graph,BreadcrumbList","@graph,BreadcrumbList",OK,coincide con breadcrumbs visibles
/contact,ContactPage,"Article,BreadcrumbList,FAQPage","ContactPage,BreadcrumbList,FAQPage",OK,tipo acorde al proposito real de la pagina
/contact,BreadcrumbList,"Article,BreadcrumbList,FAQPage","ContactPage,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/contact,FAQPage,"Article,BreadcrumbList,FAQPage","ContactPage,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/disclaimer,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/disclaimer,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
/editorial-policy,WebPage,"Article,BreadcrumbList","WebPage,BreadcrumbList",OK,tipo acorde al proposito real de la pagina
/editorial-policy,BreadcrumbList,"Article,BreadcrumbList","WebPage,BreadcrumbList",OK,coincide con breadcrumbs visibles
/how-we-research,WebPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList,FAQPage",OK,tipo acorde al proposito real de la pagina
/how-we-research,BreadcrumbList,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/how-we-research,FAQPage,"Article,BreadcrumbList,FAQPage","WebPage,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/,WebSite,"WebSite,Organization,Article,BreadcrumbList,FAQPage,ItemList","WebSite,Organization,BreadcrumbList,FAQPage,ItemList",OK,"entidad editorial real, sin datos inventados"
/,Organization,"WebSite,Organization,Article,BreadcrumbList,FAQPage,ItemList","WebSite,Organization,BreadcrumbList,FAQPage,ItemList",OK,"entidad editorial real, sin datos inventados"
/,BreadcrumbList,"WebSite,Organization,Article,BreadcrumbList,FAQPage,ItemList","WebSite,Organization,BreadcrumbList,FAQPage,ItemList",OK,coincide con breadcrumbs visibles
/,FAQPage,"WebSite,Organization,Article,BreadcrumbList,FAQPage,ItemList","WebSite,Organization,BreadcrumbList,FAQPage,ItemList",OK,"6 preguntas, todas visibles en la pagina"
/,ItemList,"WebSite,Organization,Article,BreadcrumbList,FAQPage,ItemList","WebSite,Organization,BreadcrumbList,FAQPage,ItemList",OK,lista real de elementos enlazados en la pagina
/pages/18-wheeler-accident-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/18-wheeler-accident-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/18-wheeler-accident-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"3 preguntas, todas visibles en la pagina"
/pages/asbestos-lawsuit-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/asbestos-lawsuit-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/asbestos-lawsuit-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/bankruptcy-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/bankruptcy-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
/pages/birth-injury-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/birth-injury-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,coincide con breadcrumbs visibles
/pages/birth-injury-lawyer-cost,FAQPage,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList,FAQPage",OK,"6 preguntas, todas visibles en la pagina"
/pages/business-lawyer-cost,Article,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,"pagina editorial con autor, cuerpo y fuentes"
/pages/business-lawyer-cost,BreadcrumbList,"Article,BreadcrumbList,FAQPage","Article,BreadcrumbList",OK,coincide con breadcrumbs visibles
