query,total_impr_3m,n_urls,mixed_sections,sections,url_1,impr_1,pos_1,url_2,impr_2,pos_2,url_3,impr_3,pos_3,verdict
how much does a lawyer cost,876,50,True,"guide,other,state",/states/louisiana-lawyer-costs,189,47.4,/pages/how-much-does-a-lawyer-cost,124,67.2,/states/south-carolina-lawyer-costs,64,73.6,REVISAR-intencion-mixta
legal fees,831,16,True,"guide,state",/states/louisiana-lawyer-costs,289,45.7,/states/mississippi-lawyer-costs,161,69.0,/pages/legal-fee-calculator,109,80.8,REVISAR-intencion-mixta
lawyer pricing,679,26,True,"guide,other,state",/states/louisiana-lawyer-costs,208,31.9,/states/california-lawyer-costs,50,87.2,/pages/how-much-does-a-lawyer-cost,48,76.1,REVISAR-intencion-mixta
lawyer cost,582,49,True,"guide,other,state",/states/wisconsin-lawyer-costs,68,56.4,/states/south-carolina-lawyer-costs,41,84.5,/states/oklahoma-lawyer-costs,36,74.7,REVISAR-intencion-mixta
attorney pricing,550,16,True,"guide,state",/states/louisiana-lawyer-costs,254,31.7,/states/south-carolina-lawyer-costs,76,91.2,/states/california-lawyer-costs,57,92.2,REVISAR-intencion-mixta
how much does it cost for a lawyer to represent you in court,475,50,True,"guide,state",/states/new-york-lawyer-costs,29,9.2,/states/south-carolina-lawyer-costs,28,8.5,/states/new-jersey-lawyer-costs,25,7.9,REVISAR-intencion-mixta
business lawyer cost,415,4,True,"guide,state",/pages/business-lawyer-cost,237,62.3,/states/louisiana-lawyer-costs,173,59.7,/states/massachusetts-lawyer-costs,4,71.8,REVISAR-intencion-mixta
lawyer fees,414,42,True,"guide,other,state",/states/wisconsin-lawyer-costs,48,53.2,/states/south-carolina-lawyer-costs,36,71.2,/states/california-lawyer-costs,30,68.1,REVISAR-intencion-mixta
how much is a consultation with a lawyer,383,11,True,"guide,state",/pages/lawyer-consultation-fee,157,58.3,/states/south-carolina-lawyer-costs,92,70.0,/states/california-lawyer-costs,35,90.5,REVISAR-intencion-mixta
small business lawyer cost,332,2,True,"guide,state",/pages/business-lawyer-cost,242,62.1,/states/louisiana-lawyer-costs,90,46.9,,,,REVISAR-intencion-mixta
attorney cost,300,35,True,"guide,other,state",/states/south-carolina-lawyer-costs,39,76.5,/states/wisconsin-lawyer-costs,35,54.9,/states/tennessee-lawyer-costs,24,86.4,REVISAR-intencion-mixta
how much does a criminal lawyer cost,286,7,True,"guide,state",/pages/criminal-defense-lawyer-cost,231,72.8,/states/utah-lawyer-costs,47,67.1,/states/arkansas-lawyer-costs,2,70.5,REVISAR-intencion-mixta
business attorney fees,272,3,True,"guide,state",/pages/business-lawyer-cost,267,68.8,/states/massachusetts-lawyer-costs,4,60.2,/states/kansas-lawyer-costs,1,20,REVISAR-intencion-mixta
how much does a good lawyer cost,213,20,True,"guide,other,state",/pages/how-much-does-a-lawyer-cost,132,60.2,/states/texas-lawyer-costs,20,74.5,/states/wisconsin-lawyer-costs,12,95.1,REVISAR-intencion-mixta
attorney fees,193,16,False,state,/states/south-carolina-lawyer-costs,63,55.9,/states/wisconsin-lawyer-costs,37,55.9,/states/tennessee-lawyer-costs,36,65.8,OK-misma-seccion-intencion-geo-distinta
