url,decision,clicks_3m,impr_3m,pos_3m,clicks_28d,impr_28d,internal_inlinks,main_text_chars,max_jaccard_vs_other_pages,has_interactive_tool,in_sitemap,reason
/pages/business-lawyer-cost,KEEP_AND_IMPROVE,0,1426,58.5,0,557,63,8190,0.451,NO,SI,"0 clics y 1426 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/lawyer-consultation-fee,KEEP_AND_IMPROVE,0,1321,58.1,0,571,63,7919,0.539,NO,SI,"0 clics y 1321 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/employment-lawyer-cost,KEEP_AND_IMPROVE,2,1195,43.0,2,381,63,8425,0.594,NO,SI,"2 clics y 1195 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/criminal-defense-lawyer-cost,KEEP_AND_IMPROVE,0,928,59.3,0,352,63,8345,0.39,NO,SI,"0 clics y 928 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/how-much-does-a-lawyer-cost,KEEP_AND_IMPROVE,1,849,59.2,1,184,63,12628,0.349,NO,SI,"1 clics y 849 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/dui-lawyer-cost,KEEP_AND_IMPROVE,0,531,56.2,0,316,63,8306,0.446,NO,SI,"0 clics y 531 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/legal-fee-calculator,KEEP_AND_IMPROVE,0,363,55.8,0,123,63,3378,0.625,SI,SI,"0 clics y 363 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/estate-planning-lawyer-cost,KEEP_AND_IMPROVE,0,291,64.1,0,56,63,8124,0.591,NO,SI,"291 impresiones en 3m con posicion 64: hay cobertura, falta relevancia."
/pages/can-i-afford-a-lawyer,KEEP_AND_IMPROVE,0,215,58.9,0,76,13,8283,0.526,NO,SI,"215 impresiones en 3m con posicion 59: hay cobertura, falta relevancia."
/pages/contingency-fee-explained,KEEP_AND_IMPROVE,0,205,57.5,0,139,63,8886,0.413,NO,SI,"205 impresiones en 3m con posicion 58: hay cobertura, falta relevancia."
/pages/hourly-vs-flat-fee-lawyer,KEEP_AND_IMPROVE,0,181,24.6,0,105,63,7892,0.539,NO,SI,"181 impresiones en 3m con posicion 25: hay cobertura, falta relevancia."
/pages/personal-injury-lawyer-cost,KEEP_AND_IMPROVE,0,178,55.6,0,115,63,11149,0.412,NO,SI,"178 impresiones en 3m con posicion 56: hay cobertura, falta relevancia."
/pages/lawyer-cost-calculator,KEEP_AND_IMPROVE,2,175,36.3,0,45,63,6014,0.362,SI,SI,"2 clics y 175 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/mesothelioma-settlement-calculator,KEEP_AND_IMPROVE,1,172,50.3,1,43,22,8711,0.47,SI,SI,"1 clics y 172 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/immigration-lawyer-cost,KEEP_AND_IMPROVE,0,172,51.4,0,131,63,8337,0.437,NO,SI,"172 impresiones en 3m con posicion 51: hay cobertura, falta relevancia."
/pages/real-estate-lawyer-cost,KEEP_AND_IMPROVE,0,165,51.8,0,114,63,8272,0.551,NO,SI,"165 impresiones en 3m con posicion 52: hay cobertura, falta relevancia."
/pages/mesothelioma-lawyer-cost,KEEP_AND_IMPROVE,0,161,39.9,0,61,4,22722,0.34,NO,SI,"161 impresiones en 3m con posicion 40: hay cobertura, falta relevancia."
/pages/bankruptcy-lawyer-cost,KEEP_AND_IMPROVE,1,159,61.5,1,79,63,8504,0.424,NO,SI,"1 clics y 159 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/small-claims-filing-fee-calculator,KEEP_AND_IMPROVE,3,136,34.9,2,26,63,3761,0.656,SI,SI,"3 clics y 136 impresiones en 3m: hay demanda medida. Prioridad de mejora de contenido, no de arquitectura."
/pages/divorce-lawyer-cost,KEEP_AND_IMPROVE,0,132,69.0,0,45,63,10081,0.448,NO,SI,"132 impresiones en 3m con posicion 69: hay cobertura, falta relevancia."
/pages/personal-injury-settlement-calculator,KEEP_AS_IS,0,80,85.0,0,21,22,7748,0.47,SI,SI,Herramienta interactiva con calculo propio: valor de uso independiente del trafico organico.
/pages/contingency-fee-calculator,KEEP_AS_IS,0,64,15.5,0,33,63,3556,0.656,SI,SI,Herramienta interactiva con calculo propio: valor de uso independiente del trafico organico.
/pages/legal-aid-guide,KEEP_AND_IMPROVE,0,64,54.2,0,22,63,8032,0.526,NO,SI,"64 impresiones en 3m con posicion 54: hay cobertura, falta relevancia."
/pages/white-collar-crime-lawyer-cost,KEEP_AS_IS,0,28,9.7,0,12,2,13936,0.479,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/roundup-lawsuit-cost,KEEP_AS_IS,0,27,7.5,0,0,2,12597,0.407,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/drug-trafficking-lawyer-cost,KEEP_AS_IS,0,18,7.8,0,1,2,13987,0.479,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/power-of-attorney-cost,KEEP_AS_IS,0,17,17.5,0,8,2,8060,0.57,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/trademark-lawyer-cost,KEEP_AS_IS,0,11,20.8,0,8,2,8212,0.6,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/landlord-tenant-lawyer-cost,KEEP_AS_IS,0,8,39.9,0,2,2,8214,0.551,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/small-claims-court-cost,KEEP_AS_IS,0,5,4.6,0,0,2,8289,0.522,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
/pages/notary-cost-guide,KEEP_AS_IS,0,4,8.3,0,0,2,7960,0.522,NO,SI,"Poco trafico, pero intencion propia y contenido ya unico tras la deduplicacion. No se actua: pocos clics no es motivo suficiente."
