URL,claim,current source,source quality,status,action,verified date
/authors/javi-perez/,"""...researching U.S. legal costs since 2022"" (texto y JSON-LD)",Ninguna,Sin fuente,CORREGIDO,Retirado. GSC registra la primera impresion del dominio el 2026-04-20; no hay evidencia de actividad desde 2022.,2026-08-12
/authors/javi-perez/,"""Every guide is verified quarterly against current official data""",Ninguna,Sin fuente,CORREGIDO,"Sustituido por ""cada guia lista sus fuentes y se actualiza cuando cambia la fuente citada"". No existe registro de ciclo trimestral.",2026-08-12
/authors/javi-perez/,"Tabla ""Review cadence: Quarterly for state and practice-area pages""",Ninguna,Sin fuente,CORREGIDO,Sustituido por revision al cambiar la fuente citada.,2026-08-12
/authors/javi-perez/,"""quarterly re-verification"" en el proceso editorial (2 menciones)",Ninguna,Sin fuente,CORREGIDO,Reformulado como re-verificacion al publicarse cambios materiales en la fuente.,2026-08-12
/about,"Tabla ""Quarterly source review""",Ninguna,Sin fuente,CORREGIDO,"Sustituido por ""Source review on change"".",2026-08-12
/how-we-research,"""...are reviewed quarterly to make sure the site remains usable""",Ninguna,Sin fuente,CORREGIDO,Sustituido por revision durante las actualizaciones del sitio.,2026-08-12
/editorial-policy,"Tabla de cadencia editorial con ""Quarterly"" en 3 filas",Ninguna,Sin fuente,CORREGIDO,"Sustituido por ""On source change"" en las 3 filas.",2026-08-12
/,"""Every benchmark... comes from Clio, BLS, ABA Model Rule 1.5, U.S. Courts...""",ABA Model Rule 1.5,"Fuente primaria, mal aplicada",CORREGIDO,La Model Rule 1.5 no publica cifras. Sale de la lista de fuentes de benchmarks y se explicita que solo aporta el estandar de razonabilidad.,2026-08-12
/,"""Pages are reviewed quarterly or when a new official fee schedule is published""",Ninguna,Sin fuente,CORREGIDO,Retirada la cadencia trimestral.,2026-08-12
/pages/personal-injury-lawyer-cost,"""Most plaintiff-side firms charge 33% to 40% (ABA Model Rule 1.5)""",ABA Model Rule 1.5,"Fuente primaria, mal aplicada",CORREGIDO,El rango se presenta como practica de mercado habitual sin fuente oficial unica. La Model Rule 1.5 se cita solo por el requisito de razonabilidad y pacto escrito.,2026-08-12
/pages/personal-injury-lawyer-cost,"Tabla de cuota litis, columna Source: ""ABA Model Rule 1.5; state bar fee-agreement guidelines""",ABA Model Rule 1.5,"Fuente primaria, mal aplicada",CORREGIDO,"Columna reescrita: practica de mercado, no estadistica publicada.",2026-08-12
/pages/mesothelioma-lawyer-cost,"""usually in the 33% to 40% range (ABA Model Rule 1.5)""",ABA Model Rule 1.5,"Fuente primaria, mal aplicada",CORREGIDO,Reformulado como rango de mercado; la Regla no fija porcentaje.,2026-08-12
/authors/javi-perez/,"""Javi is not an attorney, not a licensed paralegal, and not affiliated with any law firm""",Declaracion del editor,Verificable en el repositorio,VERIFICADO,Se mantiene. Ninguna credencial juridica declarada en el sitio.,2026-08-12
/authors/javi-perez/,"""No attorney referral revenue, no affiliate relationships, no paid placements""",Inspeccion del repositorio,Verificable,VERIFICADO,"Se mantiene: 0 enlaces de afiliado, 0 formularios de lead, 0 rel=sponsored en todo el sitio.",2026-08-12
/editorial-policy,"""This site does not accept payment for editorial mentions""",Inspeccion del repositorio,Verificable,VERIFICADO,Se mantiene.,2026-08-12
