query,total_impr_3m,n_urls,mixed_sections,sections,url_1,impr_1,pos_1,url_2,impr_2,pos_2,decision,reason
how much does a lawyer cost,876,50,True,"guide,other,state",/states/louisiana-lawyer-costs,189,47.4,/pages/how-much-does-a-lawyer-cost,124,67.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
legal fees,831,16,True,"guide,state",/states/louisiana-lawyer-costs,289,45.7,/states/mississippi-lawyer-costs,161,69.0,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer pricing,679,26,True,"guide,other,state",/states/louisiana-lawyer-costs,208,31.9,/states/california-lawyer-costs,50,87.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer cost,582,49,True,"guide,other,state",/states/wisconsin-lawyer-costs,68,56.4,/states/south-carolina-lawyer-costs,41,84.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
attorney pricing,550,16,True,"guide,state",/states/louisiana-lawyer-costs,254,31.7,/states/south-carolina-lawyer-costs,76,91.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does it cost for a lawyer to represent you in court,475,50,True,"guide,state",/states/new-york-lawyer-costs,29,9.2,/states/south-carolina-lawyer-costs,28,8.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
business lawyer cost,415,4,True,"guide,state",/pages/business-lawyer-cost,237,62.3,/states/louisiana-lawyer-costs,173,59.7,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer fees,414,42,True,"guide,other,state",/states/wisconsin-lawyer-costs,48,53.2,/states/south-carolina-lawyer-costs,36,71.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much is a consultation with a lawyer,383,11,True,"guide,state",/pages/lawyer-consultation-fee,157,58.3,/states/south-carolina-lawyer-costs,92,70.0,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
small business lawyer cost,332,2,True,"guide,state",/pages/business-lawyer-cost,242,62.1,/states/louisiana-lawyer-costs,90,46.9,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
attorney cost,300,35,True,"guide,other,state",/states/south-carolina-lawyer-costs,39,76.5,/states/wisconsin-lawyer-costs,35,54.9,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does a criminal lawyer cost,286,7,True,"guide,state",/pages/criminal-defense-lawyer-cost,231,72.8,/states/utah-lawyer-costs,47,67.1,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
business attorney fees,272,3,True,"guide,state",/pages/business-lawyer-cost,267,68.8,/states/massachusetts-lawyer-costs,4,60.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does a good lawyer cost,213,20,True,"guide,other,state",/pages/how-much-does-a-lawyer-cost,132,60.2,/states/texas-lawyer-costs,20,74.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
attorney fees,193,16,False,state,/states/south-carolina-lawyer-costs,63,55.9,/states/wisconsin-lawyer-costs,37,55.9,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much does an attorney cost,190,42,True,"guide,other,state",/pages/how-much-does-a-lawyer-cost,27,51.3,/states/south-carolina-lawyer-costs,23,76.1,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
flat fee lawyer,178,2,False,state,/states/louisiana-lawyer-costs,177,49.5,/states/colorado-lawyer-costs,1,37,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much do lawyers cost,178,35,True,"guide,other,state",/states/new-york-lawyer-costs,59,40.4,/pages/how-much-does-a-lawyer-cost,18,67.9,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much is a lawyer,171,37,True,"guide,other,state",/states/new-york-lawyer-costs,56,33.1,/pages/how-much-does-a-lawyer-cost,32,57.7,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does a business lawyer cost,160,6,True,"guide,state",/pages/business-lawyer-cost,142,65.1,/states/new-york-lawyer-costs,7,35.6,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
legal consulting fees,160,9,True,"guide,other,state",/pages/lawyer-consultation-fee,79,58.4,/states/texas-lawyer-costs,50,61.1,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer consultant cost,155,7,True,"guide,state",/states/california-lawyer-costs,31,73.4,/pages/lawyer-consultation-fee,29,59.6,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much are lawyers,154,36,True,"other,state",/states/new-york-lawyer-costs,26,50.9,/states/pennsylvania-lawyer-costs,20,9.9,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer fee,143,32,True,"guide,state",/states/new-york-lawyer-costs,14,12.9,/states/wisconsin-lawyer-costs,11,56.8,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
legal consultation fee,137,4,True,"guide,state",/pages/lawyer-consultation-fee,63,59.9,/states/texas-lawyer-costs,56,59.8,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much is an attorney,133,39,True,"guide,state",/pages/how-much-does-a-lawyer-cost,18,44.5,/states/new-york-lawyer-costs,14,21.2,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
attorney consultant cost,128,6,True,"guide,state",/states/california-lawyer-costs,37,68.4,/pages/lawyer-consultation-fee,34,74.1,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer hourly rate,120,19,False,state,/states/colorado-lawyer-costs,55,28.3,/states/new-york-lawyer-costs,23,36.0,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
lawyers hourly rates,120,17,False,state,/states/texas-lawyer-costs,29,61.0,/states/south-carolina-lawyer-costs,21,59.7,NO_ACTION,Intencion geografica distinta: cada URL sirve a un estado.
how much is a attorney,119,29,True,"guide,state",/states/idaho-lawyer-costs,30,27.7,/states/utah-lawyer-costs,29,26.8,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
criminal defense attorney fees,118,8,True,"guide,state",/states/utah-lawyer-costs,76,53.8,/states/nevada-lawyer-costs,17,51.1,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
cost of a lawyer,106,24,True,"guide,other,state",/states/wisconsin-lawyer-costs,16,66.8,/states/california-lawyer-costs,15,84,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does a criminal defense attorney cost,99,6,True,"guide,state",/pages/criminal-defense-lawyer-cost,91,65.0,/states/california-lawyer-costs,3,85.3,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyer prices,94,32,True,"guide,state",/states/new-york-lawyer-costs,14,13.5,/states/south-carolina-lawyer-costs,8,19,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does an employment lawyer cost,92,2,True,"guide,state",/pages/employment-lawyer-cost,90,55.6,/states/new-york-lawyer-costs,2,43.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
how much does a divorce lawyer cost,84,8,True,"guide,state",/states/maryland-lawyer-costs,27,63.2,/pages/divorce-lawyer-cost,23,76.6,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
lawyers consultation fees,83,4,True,"guide,state",/states/texas-lawyer-costs,71,60.9,/pages/lawyer-consultation-fee,10,75.5,NO_ACTION_ROOT_CAUSE_FIXED,Causa real: texto de plantilla compartido que hacia encajar cualquier pagina con cualquier consulta. Eliminado en 4f451c3 y 1dbd15e. No se consolida ninguna URL.
