period,dimension,key1,key2,clicks,impressions,ctr,position
3m_2026-05-12_2026-08-11,query+page,consultation fee,/pages/lawyer-consultation-fee,0,516,0,57.7
3m_2026-05-12_2026-08-11,query+page,legal fees,/states/louisiana-lawyer-costs,0,289,0,45.7
3m_2026-05-12_2026-08-11,query+page,business attorney fees,/pages/business-lawyer-cost,0,267,0,68.8
3m_2026-05-12_2026-08-11,query+page,attorney pricing,/states/louisiana-lawyer-costs,0,254,0,31.7
3m_2026-05-12_2026-08-11,query+page,small business lawyer cost,/pages/business-lawyer-cost,0,242,0,62.1
3m_2026-05-12_2026-08-11,query+page,business lawyer cost,/pages/business-lawyer-cost,0,237,0,62.3
3m_2026-05-12_2026-08-11,query+page,how much does a criminal lawyer cost,/pages/criminal-defense-lawyer-cost,0,231,0,72.8
3m_2026-05-12_2026-08-11,query+page,lawyer pricing,/states/louisiana-lawyer-costs,0,208,0,31.9
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/louisiana-lawyer-costs,0,189,0,47.4
3m_2026-05-12_2026-08-11,query+page,flat fee lawyer,/states/louisiana-lawyer-costs,0,177,0,49.5
3m_2026-05-12_2026-08-11,query+page,business lawyer cost,/states/louisiana-lawyer-costs,0,173,0,59.7
3m_2026-05-12_2026-08-11,query+page,legal fees,/states/mississippi-lawyer-costs,0,161,0,69.0
3m_2026-05-12_2026-08-11,query+page,how much is a consultation with a lawyer,/pages/lawyer-consultation-fee,0,157,0,58.3
3m_2026-05-12_2026-08-11,query+page,how much does a business lawyer cost,/pages/business-lawyer-cost,0,142,0,65.1
3m_2026-05-12_2026-08-11,query+page,how much does a good lawyer cost,/pages/how-much-does-a-lawyer-cost,0,132,0,60.2
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/pages/how-much-does-a-lawyer-cost,0,124,0,67.2
3m_2026-05-12_2026-08-11,query+page,legal fees,/pages/legal-fee-calculator,0,109,0,80.8
3m_2026-05-12_2026-08-11,query+page,mesothelioma compensation calculator,/pages/mesothelioma-settlement-calculator,0,100,0,63.0
3m_2026-05-12_2026-08-11,query+page,attorney fees colorado,/states/colorado-lawyer-costs,0,93,0,27.2
3m_2026-05-12_2026-08-11,query+page,how much is a consultation with a lawyer,/states/south-carolina-lawyer-costs,0,92,0,70.0
3m_2026-05-12_2026-08-11,query+page,how much does a criminal defense attorney cost,/pages/criminal-defense-lawyer-cost,0,91,0,65.0
3m_2026-05-12_2026-08-11,query+page,how much does an employment lawyer cost,/pages/employment-lawyer-cost,0,90,0,55.6
3m_2026-05-12_2026-08-11,query+page,small business attorney fees,/pages/business-lawyer-cost,0,90,0,63.9
3m_2026-05-12_2026-08-11,query+page,small business lawyer cost,/states/louisiana-lawyer-costs,0,90,0,46.9
3m_2026-05-12_2026-08-11,query+page,wrongful termination lawyer cost,/pages/employment-lawyer-cost,0,90,0,65.6
3m_2026-05-12_2026-08-11,query+page,lawyer fees criminal defense,/states/utah-lawyer-costs,0,84,0,53.9
3m_2026-05-12_2026-08-11,query+page,legal fees,/states/oregon-lawyer-costs,0,81,0,36.6
3m_2026-05-12_2026-08-11,query+page,how much does a divorce lawyer cost in virginia,/states/virginia-lawyer-costs,0,79,0,80.2
3m_2026-05-12_2026-08-11,query+page,legal consulting fees,/pages/lawyer-consultation-fee,0,79,0,58.4
3m_2026-05-12_2026-08-11,query+page,employment lawyer fees,/pages/employment-lawyer-cost,0,77,0,67.8
3m_2026-05-12_2026-08-11,query+page,attorney pricing,/states/south-carolina-lawyer-costs,0,76,0,91.2
3m_2026-05-12_2026-08-11,query+page,criminal defense attorney fees,/states/utah-lawyer-costs,0,76,0,53.8
3m_2026-05-12_2026-08-11,query+page,how much does a prenup cost in maryland,/states/maryland-lawyer-costs,0,75,0,73.6
3m_2026-05-12_2026-08-11,query+page,virginia traffic lawyer cost,/states/virginia-lawyer-costs,0,73,0,63.5
3m_2026-05-12_2026-08-11,query+page,how much does a traffic lawyer cost in virginia,/states/virginia-lawyer-costs,0,71,0,67.2
3m_2026-05-12_2026-08-11,query+page,lawyers consultation fees,/states/texas-lawyer-costs,0,71,0,60.9
3m_2026-05-12_2026-08-11,query+page,how much do traffic lawyers cost in virginia,/states/virginia-lawyer-costs,0,70,0,62.9
3m_2026-05-12_2026-08-11,query+page,legal fees,/states/south-carolina-lawyer-costs,0,69,0,74.5
3m_2026-05-12_2026-08-11,query+page,lawyer cost,/states/wisconsin-lawyer-costs,0,68,0,56.4
3m_2026-05-12_2026-08-11,query+page,legal fees farmerville la,/states/louisiana-lawyer-costs,0,67,0,39.0
3m_2026-05-12_2026-08-11,query+page,monthly lawyer cost,/states/louisiana-lawyer-costs,0,67,0,49.6
3m_2026-05-12_2026-08-11,query+page,hawaii divorce attorney fees,/states/hawaii-lawyer-costs,0,66,0,46.7
3m_2026-05-12_2026-08-11,query+page,how much does a lawyer cost,/states/south-carolina-lawyer-costs,0,64,0,73.6
3m_2026-05-12_2026-08-11,query+page,attorney fees,/states/south-carolina-lawyer-costs,0,63,0,55.9
