url,element,before,after,reason,metric_to_watch
/states/alabama-lawyer-costs,title,"Alabama Lawyer Costs 2026: Rates, Retainers & Court Fees","Alabama Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/alabama-lawyer-costs,meta description,"Alabama lawyer costs in 2026: how hourly, flat-fee and contingency billing work, plus court filing fees checked against the Alabama Unified Judicial System. Planning.","Alabama lawyer costs 2026: hourly, flat-fee and contingency billing, plus court filing fees checked against the Alabama Unified Judicial System.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/alaska-lawyer-costs,title,"Alaska Lawyer Costs 2026: Rates, Retainers & Court Fees","Alaska Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/alaska-lawyer-costs,meta description,"Alaska lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Alaska Bar Association..","Alaska lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Alaska Bar Association.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/arizona-lawyer-costs,title,"Arizona Lawyer Costs 2026: Rates, Retainers & Court Fees","Arizona Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/arizona-lawyer-costs,meta description,"Arizona lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to compare quotes. Planning estimates, not quotes.","Arizona lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to compare quotes before hiring. Planning estimates, not quotes.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/arkansas-lawyer-costs,title,"Arkansas Lawyer Costs 2026: Rates, Retainers & Court Fees","Arkansas Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/arkansas-lawyer-costs,meta description,"Arkansas lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Arkansas Bar Association..","Arkansas lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Arkansas Bar Association.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/california-lawyer-costs,title,"California Lawyer Costs 2026: Rates, Retainers & Court Fees","California Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/california-lawyer-costs,meta description,"California lawyer costs in 2026: how hourly, flat-fee and contingency billing work, plus court filing fees checked against the California Courts. Planning estimates,.","California lawyer costs 2026: hourly, flat-fee and contingency billing, plus court filing fees checked against the California Courts. Planning estimates, not quotes.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/colorado-lawyer-costs,title,"Colorado Lawyer Costs 2026: Rates, Retainers & Court Fees","Colorado Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/colorado-lawyer-costs,meta description,"Colorado lawyer costs in 2026: how hourly, flat-fee and contingency billing work, plus court filing fees checked against the Colorado Judicial Branch. Planning.","Colorado lawyer costs 2026: hourly, flat-fee and contingency billing, plus court filing fees checked against the Colorado Judicial Branch.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/connecticut-lawyer-costs,title,"Connecticut Lawyer Costs 2026: Rates, Retainers & Court Fees","Connecticut Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/connecticut-lawyer-costs,meta description,"Connecticut lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Connecticut Bar.","Connecticut lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Connecticut Bar Association.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/delaware-lawyer-costs,title,"Delaware Lawyer Costs 2026: Rates, Retainers & Court Fees","Delaware Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/delaware-lawyer-costs,meta description,"Delaware lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Delaware State Bar.","Delaware lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Delaware State Bar Association.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/florida-lawyer-costs,title,"Florida Lawyer Costs 2026: Rates, Retainers & Court Fees","Florida Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/florida-lawyer-costs,meta description,"Florida lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to compare quotes. Planning estimates, not quotes.","Florida lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to compare quotes before hiring. Planning estimates, not quotes.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/georgia-lawyer-costs,title,"Georgia Lawyer Costs 2026: Rates, Retainers & Court Fees","Georgia Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/georgia-lawyer-costs,meta description,"Georgia lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to compare quotes. Planning estimates, not quotes.","Georgia lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to compare quotes before hiring. Planning estimates, not quotes.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/hawaii-lawyer-costs,title,"Hawaii Lawyer Costs 2026: Rates, Retainers & Court Fees","Hawaii Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/hawaii-lawyer-costs,meta description,"Hawaii lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Hawaii State Bar Association..","Hawaii lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Hawaii State Bar Association.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/idaho-lawyer-costs,title,"Idaho Lawyer Costs 2026: Rates, Retainers & Court Fees","Idaho Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/idaho-lawyer-costs,meta description,"Idaho lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Idaho State Bar. Planning.","Idaho lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Idaho State Bar.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/illinois-lawyer-costs,title,"Illinois Lawyer Costs 2026: Rates, Retainers & Court Fees","Illinois Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/illinois-lawyer-costs,meta description,"Illinois lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Illinois State Bar.","Illinois lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Illinois State Bar Association.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/indiana-lawyer-costs,title,"Indiana Lawyer Costs 2026: Rates, Retainers & Court Fees","Indiana Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/indiana-lawyer-costs,meta description,"Indiana lawyer costs in 2026: how hourly, flat-fee and contingency billing work, what a retainer covers, and how to check standing with Indiana State Bar Association..","Indiana lawyer costs 2026: hourly, flat-fee and contingency billing, what a retainer covers, and how to check standing with Indiana State Bar Association.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/iowa-lawyer-costs,title,"Iowa Lawyer Costs 2026: Rates, Retainers & Court Fees","Iowa Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
/states/iowa-lawyer-costs,meta description,"Iowa lawyer costs in 2026: how hourly, flat-fee and contingency billing work, plus court filing fees checked against the Iowa Judicial Branch. Planning estimates, not.","Iowa lawyer costs 2026: hourly, flat-fee and contingency billing, plus court filing fees checked against the Iowa Judicial Branch. Planning estimates, not quotes.",Idem. Sustituido por elementos verificables (judicatura o colegio del estado) y etiquetado como planning estimate.,"CTR, 28 dias"
/states/kansas-lawyer-costs,title,"Kansas Lawyer Costs 2026: Rates, Retainers & Court Fees","Kansas Lawyer Costs 2026: Rates, Retainers & Fees",Rango horario derivado de Clio (fuente comercial secundaria) presentado como hecho. Retirado del title.,"CTR y posicion, 28 dias"
