query,page_path,clicks_3m,impr_3m,ctr_3m,pos_3m,clicks_28d,impr_28d,pos_28d,clicks_prev28d,impr_prev28d,pos_prev28d,impr_delta_pct
consultation fee,/pages/lawyer-consultation-fee,0,516,0,57.7,0,168,43.3,0,188,56.0,-10.6
legal fees,/states/louisiana-lawyer-costs,0,289,0,45.7,0,71,52.7,0,101,45.7,-29.7
business attorney fees,/pages/business-lawyer-cost,0,267,0,68.8,0,105,64.9,0,112,66.9,-6.2
attorney pricing,/states/louisiana-lawyer-costs,0,254,0,31.7,0,52,31.2,0,89,30.5,-41.6
small business lawyer cost,/pages/business-lawyer-cost,0,242,0,62.1,0,48,49.0,0,100,50.0,-52.0
business lawyer cost,/pages/business-lawyer-cost,0,237,0,62.3,0,44,46.1,0,96,53.4,-54.2
how much does a criminal lawyer cost,/pages/criminal-defense-lawyer-cost,0,231,0,72.8,0,94,71.1,0,70,74.2,34.3
lawyer pricing,/states/louisiana-lawyer-costs,0,208,0,31.9,0,0,,0,90,31.6,-100.0
how much does a lawyer cost,/states/louisiana-lawyer-costs,0,189,0,47.4,0,25,51.1,0,74,50.0,-66.2
flat fee lawyer,/states/louisiana-lawyer-costs,0,177,0,49.5,0,49,36,0,73,47.0,-32.9
business lawyer cost,/states/louisiana-lawyer-costs,0,173,0,59.7,0,30,59.5,0,67,68.8,-55.2
legal fees,/states/mississippi-lawyer-costs,0,161,0,69.0,0,65,69.2,0,96,68.9,-32.3
how much is a consultation with a lawyer,/pages/lawyer-consultation-fee,0,157,0,58.3,0,100,60.4,0,52,50.9,92.3
how much does a business lawyer cost,/pages/business-lawyer-cost,0,142,0,65.1,0,66,58.7,0,48,63.4,37.5
how much does a good lawyer cost,/pages/how-much-does-a-lawyer-cost,0,132,0,60.2,0,33,68.7,0,52,53.3,-36.5
how much does a lawyer cost,/pages/how-much-does-a-lawyer-cost,0,124,0,67.2,0,19,71.7,0,54,62.4,-64.8
legal fees,/pages/legal-fee-calculator,0,109,0,80.8,0,32,79.7,0,29,82.9,10.3
mesothelioma compensation calculator,/pages/mesothelioma-settlement-calculator,0,100,0,63.0,0,34,58.4,0,31,65.0,9.7
attorney fees colorado,/states/colorado-lawyer-costs,0,93,0,27.2,0,64,25.9,0,20,27.2,220.0
how much is a consultation with a lawyer,/states/south-carolina-lawyer-costs,0,92,0,70.0,0,5,73,0,38,65.6,-86.8
how much does a criminal defense attorney cost,/pages/criminal-defense-lawyer-cost,0,91,0,65.0,0,16,51.1,0,43,63.3,-62.8
how much does an employment lawyer cost,/pages/employment-lawyer-cost,0,90,0,55.6,0,55,51.8,0,21,60.4,161.9
small business attorney fees,/pages/business-lawyer-cost,0,90,0,63.9,0,24,56.9,0,43,59.2,-44.2
small business lawyer cost,/states/louisiana-lawyer-costs,0,90,0,46.9,0,16,36.9,0,4,67.8,300.0
wrongful termination lawyer cost,/pages/employment-lawyer-cost,0,90,0,65.6,0,0,,0,6,53.7,-100.0
lawyer fees criminal defense,/states/utah-lawyer-costs,0,84,0,53.9,0,14,93.7,0,40,42.6,-65.0
legal fees,/states/oregon-lawyer-costs,0,81,0,36.6,0,28,35.9,0,25,36.1,12.0
